dataset,algorithm,platformId,runId,NetIn,NetOut,node,time,phase
DGS,MLP-tol-0.0001-maxIter-10,2,2,198931676179807,356047541018414,0,04/21/21 39 2021 01:39:51. 738,train
DGS,MLP-tol-0.0001-maxIter-10,2,2,198931678286041,356047544107199,0,04/21/21 39 2021 01:39:52. 753,train
DGS,MLP-tol-0.0001-maxIter-10,2,2,198931682702159,356047549017787,0,04/21/21 39 2021 01:39:53. 771,train
DGS,MLP-tol-0.0001-maxIter-10,2,2,198931676179807,356047541018414,1,04/21/21 39 2021 01:39:51. 738,train
DGS,MLP-tol-0.0001-maxIter-10,2,2,198931678286041,356047544107199,1,04/21/21 39 2021 01:39:52. 753,train
DGS,MLP-tol-0.0001-maxIter-10,2,2,198931682702159,356047549017787,1,04/21/21 39 2021 01:39:53. 771,train
DGS,MLP-tol-0.0001-maxIter-10,2,2,2014321713099,82470840096,1,04/21/21 39 2021 01:39:51. 141,train
DGS,MLP-tol-0.0001-maxIter-10,2,2,2014323187225,82470866674,1,04/21/21 39 2021 01:39:52. 153,train
DGS,MLP-tol-0.0001-maxIter-10,2,2,2014323811749,82471676141,1,04/21/21 39 2021 01:39:53. 165,train
DGS,MLP-tol-0.0001-maxIter-10,2,2,198931676179807,356047541018414,2,04/21/21 39 2021 01:39:51. 738,train
DGS,MLP-tol-0.0001-maxIter-10,2,2,198931678286041,356047544107199,2,04/21/21 39 2021 01:39:52. 753,train
DGS,MLP-tol-0.0001-maxIter-10,2,2,198931682702159,356047549017787,2,04/21/21 39 2021 01:39:53. 771,train
DGS,MLP-tol-0.0001-maxIter-10,2,2,2014321713099,82470840096,2,04/21/21 39 2021 01:39:51. 141,train
DGS,MLP-tol-0.0001-maxIter-10,2,2,2014323187225,82470866674,2,04/21/21 39 2021 01:39:52. 153,train
DGS,MLP-tol-0.0001-maxIter-10,2,2,2014323811749,82471676141,2,04/21/21 39 2021 01:39:53. 165,train
DGS,MLP-tol-0.0001-maxIter-10,2,2,2010667395366,86069081913,2,04/21/21 39 2021 01:39:51. 663,train
DGS,MLP-tol-0.0001-maxIter-10,2,2,2010669715309,86069217539,2,04/21/21 39 2021 01:39:52. 675,train
DGS,MLP-tol-0.0001-maxIter-10,2,2,2010670801433,86070160102,2,04/21/21 39 2021 01:39:53. 687,train
DGS,MLP-tol-0.0001-maxIter-10,2,2,198931676179807,356047541018414,3,04/21/21 39 2021 01:39:51. 738,train
DGS,MLP-tol-0.0001-maxIter-10,2,2,198931678286041,356047544107199,3,04/21/21 39 2021 01:39:52. 753,train
DGS,MLP-tol-0.0001-maxIter-10,2,2,198931682702159,356047549017787,3,04/21/21 39 2021 01:39:53. 771,train
DGS,MLP-tol-0.0001-maxIter-10,2,2,2014321713099,82470840096,3,04/21/21 39 2021 01:39:51. 141,train
DGS,MLP-tol-0.0001-maxIter-10,2,2,2014323187225,82470866674,3,04/21/21 39 2021 01:39:52. 153,train
DGS,MLP-tol-0.0001-maxIter-10,2,2,2014323811749,82471676141,3,04/21/21 39 2021 01:39:53. 165,train
DGS,MLP-tol-0.0001-maxIter-10,2,2,2010667395366,86069081913,3,04/21/21 39 2021 01:39:51. 663,train
DGS,MLP-tol-0.0001-maxIter-10,2,2,2010669715309,86069217539,3,04/21/21 39 2021 01:39:52. 675,train
DGS,MLP-tol-0.0001-maxIter-10,2,2,2010670801433,86070160102,3,04/21/21 39 2021 01:39:53. 687,train
DGS,MLP-tol-0.0001-maxIter-10,2,2,2104982916709,95196012767,3,04/21/21 39 2021 01:39:51. 801,train
DGS,MLP-tol-0.0001-maxIter-10,2,2,2104983383664,95196265152,3,04/21/21 39 2021 01:39:52. 814,train
DGS,MLP-tol-0.0001-maxIter-10,2,2,2104984469060,95197239251,3,04/21/21 39 2021 01:39:53. 826,train
DGS,MLP-tol-0.0001-maxIter-10,3,0,198931851647507,356048065039749,0,04/21/21 40 2021 01:40:19. 469,train
DGS,MLP-tol-0.0001-maxIter-10,3,0,198931854970696,356048068082580,0,04/21/21 40 2021 01:40:20. 487,train
DGS,MLP-tol-0.0001-maxIter-10,3,0,198931860815633,356048074409544,0,04/21/21 40 2021 01:40:21. 501,train
DGS,MLP-tol-0.0001-maxIter-10,3,0,198931851647507,356048065039749,1,04/21/21 40 2021 01:40:19. 469,train
