dataset,algorithm,platformId,runId,memoryUsage,MemTotal,MemFree,node,timeIndex,phase
DGS,LR,6,1,0.9145408089990971,65451544,5593436,3,5,test
DGS,LR,6,2,0.2748794436384877,65451544,47460260,2,2,train
DGS,LR,6,2,0.26780501923682654,65451544,47923292,2,1,train
DGS,LR,6,2,0.26780630262901056,65451544,47923208,2,0,train
DGS,LR,6,1,0.2789102729188482,65451544,47196436,2,5,test
DGS,LR,6,1,0.27891436755105425,65451544,47196168,2,4,train
DGS,LR,6,1,0.2789053838057663,65451544,47196756,2,3,train
DGS,LR,6,1,0.9106825654105272,65451544,5845964,3,4,train
DGS,LR,6,1,0.267288790009293,65451544,47957080,2,1,train
DGS,LR,6,1,0.26729752929892686,65451544,47956508,2,0,train
DGS,LR,6,0,0.2783649534684774,65451544,47232128,2,4,train
DGS,LR,6,0,0.27837729847900916,65451544,47231320,2,3,train
DGS,LR,6,0,0.2731839603356034,65451544,47571232,2,2,train
DGS,LR,6,0,0.26678673920969687,65451544,47989940,2,1,train
DGS,LR,6,0,0.26676889394694797,65451544,47991108,2,0,train
DGS,LR,6,0,0.27159090395178453,65451544,47675500,1,4,train
DGS,LR,6,0,0.27158735934480016,65451544,47675732,1,3,train
DGS,LR,6,0,0.26614650985162397,65451544,48031844,1,2,train
DGS,LR,6,0,0.260720511039434,65451544,48386984,1,1,train
DGS,LR,6,0,0.26072656131687283,65451544,48386588,1,0,train
DGS,LR,6,2,0.2794701374806376,65451544,47159792,2,3,train
DGS,LR,6,2,0.2795980489016424,65451544,47151420,2,4,train
DGS,LR,6,1,0.27415444928235766,65451544,47507712,2,2,train
DGS,LR,6,2,0.9014994665366488,65451544,6447012,3,2,train
DGS,LR,6,2,0.9106290907361941,65451544,5849464,3,3,train
DGS,LR,6,2,0.9114607288714228,65451544,5795032,3,4,train
DGS,LR,6,2,0.8969705588610714,65451544,6743436,3,1,train
DGS,LR,7,0,0.2652345680340253,65451544,48091532,2,1,train
DGS,LR,7,0,0.26416844502986114,65451572,48161332,0,5,test
DGS,LR,7,1,0.2541034766896049,65451572,48820100,0,0,train
DGS,LR,7,1,0.25410200995630783,65451572,48820196,0,1,train
DGS,LR,7,1,0.26459990907475833,65451572,48133092,0,3,train
DGS,LR,7,1,0.2645667853477988,65451572,48135260,0,4,train
DGS,LR,7,2,0.25447841038867636,65451572,48795560,0,0,train
DGS,LR,7,2,0.2544771881109288,65451572,48795640,0,1,train
DGS,LR,7,2,0.2606900870157863,65451572,48388996,0,2,train
DGS,LR,7,2,0.2644337404149743,65451572,48143968,0,3,train
DGS,LR,7,2,0.2645543792286609,65451572,48136072,0,4,train
DGS,LR,7,0,0.2660989021129891,65451544,48034960,1,2,train
DGS,LR,7,0,0.259265755441919,65451544,48482200,1,0,train
DGS,LR,7,0,0.25925634389923635,65451544,48482816,1,1,train
DGS,LR,7,0,0.2641809733767739,65451572,48160512,0,4,train
DGS,LR,7,0,0.2641974741263663,65451572,48159432,0,3,train
DGS,LR,7,0,0.253557790789196,65451572,48855816,0,1,train
DGS,LR,7,0,0.26523579031229577,65451544,48091452,2,0,train
DGS,LR,7,0,0.27293620453017886,65451544,47587448,2,2,train
DGS,LR,7,0,0.2768397335286697,65451544,47331956,2,3,train
DGS,LR,7,0,0.27684761722351425,65451544,47331440,2,4,train
DGS,LR,7,0,0.2768377167695234,65451544,47332088,2,5,test
DGS,LR,7,1,0.26576295893035007,65451544,48056948,2,0,train
DGS,LR,7,1,0.26577328718173554,65451544,48056272,2,1,train
DGS,LR,7,1,0.2726181066102887,65451544,47608268,2,2,train
DGS,LR,7,1,0.27747024577449236,65451544,47290688,2,3,train
DGS,LR,7,2,0.2778514743670524,65451544,47265736,2,4,train
DGS,LR,7,2,0.27784841867137616,65451544,47265936,2,3,train
DGS,LR,7,2,0.2734010369564391,65451544,47557024,2,2,train
DGS,LR,7,1,0.2775436435846341,65451544,47285884,2,4,train
DGS,LR,7,2,0.26626580421082197,65451544,48024036,2,0,train
DGS,LR,7,2,0.26625853165511265,65451544,48024512,2,1,train
DGS,LR,7,0,0.2535617020779883,65451572,48855560,0,0,train
