dataset,algorithm,platformId,runId,MemTotal,MemFree,node,time,phase
DDF,KM-tol-0.0001-maxIter-10,1,0,65451444,4379516,3,04/23/21 37 2021 07:37:13. 623,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451444,4376696,3,04/23/21 37 2021 07:37:14. 636,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451444,4364516,3,04/23/21 37 2021 07:37:15. 649,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,7223816,0,04/23/21 38 2021 07:38:00. 028,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,7209156,0,04/23/21 38 2021 07:38:01. 043,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6569816,0,04/23/21 38 2021 07:38:02. 059,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6548520,0,04/23/21 38 2021 07:38:03. 071,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6513444,0,04/23/21 38 2021 07:38:04. 087,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6507140,0,04/23/21 38 2021 07:38:05. 101,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6496148,0,04/23/21 38 2021 07:38:06. 113,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6364060,0,04/23/21 38 2021 07:38:07. 125,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6247596,0,04/23/21 38 2021 07:38:08. 137,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6241248,0,04/23/21 38 2021 07:38:09. 151,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6077912,0,04/23/21 38 2021 07:38:10. 164,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6076088,0,04/23/21 38 2021 07:38:11. 179,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6065836,0,04/23/21 38 2021 07:38:12. 191,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,6060984,0,04/23/21 38 2021 07:38:13. 207,train
DDF,KM-tol-0.0001-maxIter-10,1,1,65451544,7223816,1,04/23/21 38 2021 07:38:00. 028,train
